timestamp;PM_1.0;PM_2.5;PM_10;PM_100;temp;humidity;arah_angin;kecepatan_angin
5/19/2024, 7:28:52 PM;18;26;49;;28;69;;2.11
5/19/2024, 7:33:08 PM;18;26;49;;28;69;;2.11
5/23/2024, 8:55:38 AM;18;26;49;;28;69;;2.11
5/23/2024, 9:01:12 AM;18;26;49;;29;67;;3.11
5/23/2024, 9:01:26 AM;18;26;49;;29;69;;3.11
5/23/2024, 9:01:41 AM;18;26;49;;29;63;;3.11
5/23/2024, 9:30:56 AM;18;26;49;;29;67;;3.11
5/23/2024, 9:31:10 AM;18;26;49;;29;69;;3.11
5/23/2024, 9:31:24 AM;18;26;49;;29;63;;3.11
5/23/2024, 9:31:38 AM;18;26;49;;29;68;;3.11
5/23/2024, 9:31:52 AM;18;26;49;;29;60;;3.11
5/23/2024, 9:32:06 AM;18;26;49;;29;62;;3.11
5/23/2024, 9:32:20 AM;18;26;49;;29;64;;3.11
5/23/2024, 9:32:34 AM;18;26;49;;29;68;;3.11
5/23/2024, 9:32:48 AM;18;26;49;;29;63;;3.11
5/23/2024, 9:33:02 AM;18;26;49;;29;69;;3.11
5/23/2024, 9:33:16 AM;18;26;49;;29;60;;3.11
5/23/2024, 9:33:30 AM;18;26;49;;29;65;;3.11
5/23/2024, 9:35:16 AM;18;26;49;;29;67;;3.11
5/23/2024, 9:35:30 AM;18;26;49;;29;69;;3.11
5/23/2024, 9:35:44 AM;18;26;49;;29;63;;3.11
5/23/2024, 9:35:58 AM;18;26;49;;29;68;;3.11
5/23/2024, 9:36:57 AM;18;26;49;;29;67;;3.11
5/23/2024, 9:37:11 AM;18;26;49;;29;69;;3.11
5/23/2024, 9:37:26 AM;18;26;49;;29;63;;3.11
5/23/2024, 9:37:40 AM;18;26;49;;29;68;;3.11
5/23/2024, 10:05:32 AM;18;26;49;;29;68;;3.11
5/23/2024, 11:02:46 AM;;;;;;;;0.00
5/23/2024, 11:05:35 AM;;;;;;;;0.00
5/23/2024, 11:07:08 AM;;;;;;;;0.00
5/23/2024, 11:09:15 AM;;;;;;;;0.00
5/23/2024, 11:10:42 AM;;;;;;;;0.00
5/23/2024, 11:12:09 AM;;;;;;;;0.00
5/23/2024, 11:14:15 AM;;;;;;;;0.00
5/23/2024, 11:16:24 AM;;;;;;;;0.00
5/23/2024, 11:17:50 AM;;;;;;;;0.00
