timestamp;PM_1.0;PM_2.5;PM_10;PM_100;temp;humidity;arah_angin;kecepatan_angin
7/7/2024, 5:24:24 AM;11;21;31;;25;60;;0.00
7/7/2024, 5:52:54 AM;11;21;31;;25;60;;0.00
7/7/2024, 5:57:54 AM;10;20;31;;26;60;;0.00
7/7/2024, 6:02:54 AM;10;20;31;;26;61;;0.00
7/7/2024, 6:04:33 AM;11;21;31;;25;60;;0.00
7/7/2024, 6:09:33 AM;10;20;31;;26;60;;0.00
7/7/2024, 6:14:33 AM;10;20;31;;26;61;;0.00
7/7/2024, 6:19:33 AM;10;20;31;;26;61;;0.00
7/7/2024, 6:24:34 AM;10;21;31;;25;60;;0.00
7/7/2024, 6:29:34 AM;11;20;30;;26;60;;0.00
7/7/2024, 6:34:34 AM;11;21;31;;26;61;;0.00
7/7/2024, 6:39:34 AM;11;20;31;;26;60;;0.00
7/7/2024, 6:44:34 AM;10;21;31;;26;60;;0.00
7/7/2024, 6:49:34 AM;10;20;30;;25;60;;0.00
7/7/2024, 6:54:35 AM;10;20;31;;25;61;;0.00
7/7/2024, 6:59:35 AM;11;20;30;;26;60;;0.00
7/7/2024, 7:04:35 AM;11;21;31;;25;61;;0.00
7/7/2024, 7:09:35 AM;11;21;31;;25;61;;0.00
7/7/2024, 7:14:35 AM;11;21;31;;25;61;;0.00
7/7/2024, 7:19:35 AM;10;21;31;;25;60;;0.00
7/7/2024, 7:24:36 AM;10;21;30;;25;61;;0.00
7/7/2024, 7:29:36 AM;11;20;31;;25;61;;0.00
7/7/2024, 7:34:36 AM;10;20;31;;26;61;;0.00
7/7/2024, 7:39:36 AM;11;20;30;;26;60;;0.00
7/7/2024, 7:44:37 AM;10;21;30;;25;61;;0.00
7/7/2024, 7:49:36 AM;11;20;30;;25;60;;0.00
7/7/2024, 7:54:36 AM;10;20;31;;26;61;;0.00
7/7/2024, 7:59:37 AM;11;21;30;;26;60;;0.00
7/7/2024, 8:04:37 AM;10;20;30;;26;61;;0.00
7/7/2024, 8:09:37 AM;10;20;31;;26;60;;0.00
7/7/2024, 8:14:37 AM;11;20;31;;25;61;;0.00
7/7/2024, 8:19:37 AM;11;20;30;;25;60;;0.00
7/7/2024, 8:24:37 AM;10;20;30;;25;61;;0.00
7/7/2024, 8:29:38 AM;10;20;30;;26;61;;0.00
7/7/2024, 8:34:38 AM;11;21;30;;26;61;;0.00
7/7/2024, 8:39:38 AM;10;21;31;;25;60;;0.00
7/7/2024, 8:44:38 AM;11;21;31;;25;60;;0.00
7/7/2024, 8:49:38 AM;11;20;30;;26;60;;0.00
7/7/2024, 8:54:38 AM;10;21;31;;26;61;;0.00
7/7/2024, 8:59:39 AM;11;21;31;;25;60;;0.00
7/7/2024, 9:04:39 AM;10;21;31;;26;61;;0.00
7/7/2024, 9:09:39 AM;11;20;31;;26;60;;0.00
7/7/2024, 9:14:39 AM;10;21;30;;25;60;;0.00
