timestamp;PM_1.0;PM_2.5;PM_10;PM_100;temp;humidity;arah_angin;kecepatan_angin
8/6/2023, 20:02:42;17;29;43;;28;20;;0.00
8/6/2023, 20:03:45;14;28;43;;29;20;;1.00
8/6/2023, 20:04:50;17;29;43;;28;20;;0.00
8/6/2023, 20:05:53;14;28;43;;29;20;;1.00
8/6/2023, 20:06:57;12;22;47;;23;27;;1.00
8/6/2023, 20:08:00;10;22;43;;29;29;;1.00
8/6/2023, 20:09:04;10;23;49;;28;26;;3.00
8/6/2023, 20:10:07;17;26;42;;27;20;;1.00
8/6/2023, 20:11:10;19;29;49;;21;27;;0.00
8/6/2023, 20:12:14;13;26;45;;25;28;;3.00
8/6/2023, 20:13:17;14;27;41;;23;28;;0.00
8/6/2023, 20:14:21;18;20;44;;26;20;;3.00
8/6/2023, 20:15:24;12;26;49;;24;21;;1.00
8/6/2023, 20:16:28;17;28;48;;23;28;;1.00
8/6/2023, 20:17:31;15;23;45;;24;23;;0.00
8/6/2023, 20:18:34;15;29;45;;24;29;;1.00
8/6/2023, 20:19:38;17;25;45;;24;21;;2.00
8/6/2023, 20:20:41;18;23;45;;22;22;;2.00
8/6/2023, 20:21:45;16;27;48;;24;21;;1.00
8/6/2023, 20:22:48;11;28;47;;28;27;;1.00
8/6/2023, 20:23:52;14;24;49;;21;25;;3.00
8/6/2023, 20:24:55;15;28;42;;29;28;;0.00
8/6/2023, 20:25:59;10;27;44;;28;25;;0.00
8/6/2023, 20:27:02;13;20;46;;22;22;;1.00
8/6/2023, 20:28:05;12;22;47;;21;25;;0.00
8/6/2023, 20:29:09;11;21;40;;21;28;;1.00
8/6/2023, 20:30:12;16;20;40;;29;25;;2.00
8/6/2023, 20:31:16;12;28;45;;29;24;;3.00
8/6/2023, 20:32:19;19;20;45;;26;23;;2.00
8/6/2023, 20:33:23;13;20;48;;24;20;;0.00
8/6/2023, 20:34:26;16;24;46;;24;23;;2.00
8/6/2023, 20:35:29;14;20;40;;29;23;;3.00
8/6/2023, 20:36:33;15;27;42;;29;27;;1.00
8/6/2023, 20:37:36;16;25;43;;20;24;;0.00
8/6/2023, 20:38:40;15;25;45;;24;22;;3.00
8/6/2023, 20:39:43;19;22;44;;25;28;;0.00
8/6/2023, 20:40:47;12;25;41;;23;29;;1.00
8/6/2023, 20:41:50;13;27;45;;20;22;;3.00
8/6/2023, 20:42:53;18;27;41;;25;25;;0.00
8/6/2023, 20:43:57;15;26;47;;29;24;;3.00
8/6/2023, 20:45:00;16;21;42;;20;24;;0.00
8/6/2023, 20:46:04;15;29;47;;25;23;;1.00
8/6/2023, 20:47:07;10;25;45;;26;23;;2.00
8/6/2023, 20:48:11;16;28;49;;21;24;;2.00
8/6/2023, 20:49:14;18;27;41;;29;23;;3.00
8/6/2023, 20:50:24;11;24;49;;25;29;;0.00
8/6/2023, 20:51:21;19;23;44;;20;27;;1.00
8/6/2023, 20:52:25;17;25;40;;26;24;;1.00
8/6/2023, 20:53:28;18;24;40;;20;26;;0.00
8/6/2023, 20:54:31;14;27;44;;21;28;;1.00
8/6/2023, 20:55:35;18;29;49;;29;23;;3.00
8/6/2023, 20:56:38;17;27;43;;22;25;;0.00
8/6/2023, 20:57:42;13;24;40;;26;20;;0.00
8/6/2023, 20:58:46;10;25;46;;28;25;;1.00
8/6/2023, 20:59:49;17;26;48;;26;27;;3.00
8/6/2023, 21:00:52;18;24;49;;27;23;;3.00
8/6/2023, 21:01:55;10;22;43;;27;21;;0.00
8/6/2023, 21:02:59;19;23;47;;24;28;;0.00
8/6/2023, 21:04:02;14;20;45;;27;20;;2.00
8/6/2023, 21:05:06;15;26;47;;28;20;;2.00
8/6/2023, 21:06:09;15;27;43;;24;23;;0.00
8/7/2023, 09:10:16;14;28;43;;29;20;;1.00
8/7/2023, 09:11:00;17;29;43;;28;20;;0.00
8/7/2023, 09:11:17;17;29;43;;28;20;;0.00
8/7/2023, 09:11:33;17;29;43;;28;20;;0.00
8/7/2023, 09:12:36;14;28;43;;29;20;;1.00
8/7/2023, 09:13:40;17;29;43;;28;20;;0.00
8/7/2023, 09:14:44;14;28;43;;29;20;;1.00
8/7/2023, 09:15:47;12;22;47;;23;27;;1.00
8/7/2023, 09:16:50;10;22;43;;29;29;;1.00
8/7/2023, 09:17:54;10;23;49;;28;26;;3.00
8/7/2023, 09:18:57;17;26;42;;27;20;;1.00
8/7/2023, 09:20:00;19;29;49;;21;27;;0.00
8/7/2023, 09:21:04;13;26;45;;25;28;;3.00
8/7/2023, 09:22:07;14;27;41;;23;28;;0.00
8/7/2023, 09:23:11;18;20;44;;26;20;;3.00
8/7/2023, 09:24:14;12;26;49;;24;21;;1.00
8/7/2023, 09:25:18;17;28;48;;23;28;;1.00
8/7/2023, 09:26:21;15;23;45;;24;23;;0.00
8/7/2023, 09:27:24;15;29;45;;24;29;;1.00
8/7/2023, 09:28:28;17;25;45;;24;21;;2.00
8/7/2023, 09:29:31;18;23;45;;22;22;;2.00
8/7/2023, 09:30:35;16;27;48;;24;21;;1.00
8/7/2023, 09:31:38;11;28;47;;28;27;;1.00
8/7/2023, 09:32:42;14;24;49;;21;25;;3.00
8/7/2023, 09:33:45;15;28;42;;29;28;;0.00
